State,2009 Population,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,2018 Population,2009 Median Year House was Built,2010 Median Year House was Built,2011 Median Year House was Built,2012 Median Year House was Built,2013 Median Year House was Built,2014 Median Year House was Built,2015 Median Year House was Built,2016 Median Year House was Built,2017 Median Year House was Built,2018 Median Year House was Built,2009 Median Age,2010 Median Age,2011 Median Age,2012 Median Age,2013 Median Age,2014 Median Age,2015 Median Age,2016 Median Age,2017 Median Age,2018 Median Age
AK,683142.0,691189.0,700703.0,711139.0,720316.0,728300.0,733375.0,736855.0,738565.0,738516.0,1981.0,1981,1982.0,1982.0,1983.0,1983.0,1983.0,1984.0,1984.0,1984.0,32.7,33.8,33.8,33.8,33.6,33.4,33.4,33.6,33.9,34.0
AL,4633360.0,4712651.0,4747424.0,4777326.0,4799277.0,4817678.0,4830620.0,4841164.0,4850771.0,4864680.0,1978.0,1979,1980.0,1980.0,1981.0,1981.0,1981.0,1982.0,1982.0,1983.0,37.2,37.5,37.7,37.8,38.1,38.2,38.4,38.6,38.7,38.9
AR,2838143.0,2872684.0,2895928.0,2916372.0,2933369.0,2947036.0,2958208.0,2968472.0,2977944.0,2990671.0,1979.0,1979,1980.0,1981.0,1981.0,1982.0,1983.0,1983.0,1984.0,1984.0,36.9,37.2,37.3,37.4,37.5,37.6,37.7,37.7,37.9,37.9
AZ,6324865.0,6246816.0,6337373.0,6410979.0,6479703.0,6561516.0,6641928.0,6728577.0,6809946.0,6946685.0,1986.0,1987,1987.0,1988.0,1988.0,1989.0,1989.0,1989.0,1989.0,1990.0,34.8,35.5,35.7,36.0,36.3,36.5,36.8,37.1,37.2,37.4
CA,36308527.0,36637290.0,36969200.0,37325068.0,37659181.0,38066920.0,38421464.0,38654206.0,38982847.0,39148760.0,1973.0,1973,1973.0,1973.0,1974.0,1974.0,1974.0,1974.0,1974.0,1974.0,34.6,34.9,35.1,35.2,35.4,35.6,35.8,36.0,36.1,36.3
CO,4843211.0,4887061.0,4966061.0,5042853.0,5119329.0,5197580.0,5278906.0,5359295.0,5436519.0,5531141.0,1979.0,1980,1980.0,1980.0,1981.0,1981.0,1982.0,1982.0,1983.0,1983.0,35.5,35.8,35.9,36.1,36.1,36.2,36.3,36.4,36.5,36.6
CT,3494487.0,3545837.0,3558172.0,3572213.0,3583561.0,3592053.0,3593222.0,3588570.0,3594478.0,3581504.0,1962.0,1963,1963.0,1963.0,1963.0,1964.0,1964.0,1964.0,1964.0,1964.0,39.0,39.5,39.8,40.0,40.2,40.3,40.4,40.6,40.8,40.8
DC,588433.0,584400.0,593955.0,605759.0,619371.0,633736.0,647484.0,659009.0,672391.0,684498.0,1949.0,1950,1950.0,1950.0,1950.0,1951.0,1951.0,1951.0,1952.0,1953.0,35.4,34.3,34.1,33.9,33.8,33.7,33.7,33.8,33.9,33.9
DE,863832.0,881278.0,890856.0,900131.0,908446.0,917060.0,926454.0,934695.0,943732.0,949495.0,1978.0,1979,1980.0,1980.0,1981.0,1982.0,1982.0,1983.0,1983.0,1984.0,37.8,38.3,38.6,38.7,38.9,39.1,39.3,39.6,39.8,40.2
FL,18222420.0,18511620.0,18688787.0,18885152.0,19091156.0,19361792.0,19645772.0,19934451.0,20278447.0,20598139.0,1983.0,1984,1984.0,1984.0,1985.0,1985.0,1985.0,1985.0,1985.0,1986.0,39.7,40.3,40.5,40.8,41.0,41.2,41.4,41.6,41.8,41.9
GA,9497667.0,9468815.0,9600612.0,9714569.0,9810417.0,9907756.0,10006693.0,10099320.0,10201635.0,10297484.0,1984.0,1985,1986.0,1986.0,1987.0,1987.0,1988.0,1988.0,1988.0,1988.0,34.5,35.0,35.2,35.4,35.6,35.8,35.9,36.2,36.4,36.5
HI,1280241.0,1333591.0,1346554.0,1362730.0,1376298.0,1392704.0,1406299.0,1413673.0,1421658.0,1422029.0,1976.0,1976,1977.0,1977.0,1978.0,1978.0,1978.0,1978.0,1978.0,1979.0,37.5,38.2,38.4,38.4,38.3,38.2,38.0,38.5,38.8,38.9
IA,2978880.0,3016267.0,3032266.0,3047646.0,3062553.0,3078116.0,3093526.0,3106589.0,3118102.0,3132499.0,1963.0,1964,1965.0,1965.0,1965.0,1966.0,1967.0,1967.0,1968.0,1969.0,37.9,38.0,38.0,38.0,38.1,38.0,38.1,38.0,38.1,38.1
ID,1492573.0,1526797.0,1549987.0,1567803.0,1583364.0,1599464.0,1616547.0,1635483.0,1657375.0,1687809.0,1979.0,1980,1981.0,1981.0,1982.0,1983.0,1984.0,1984.0,1985.0,1986.0,34.0,34.4,34.5,34.7,34.9,35.2,35.5,35.7,35.9,36.1
IL,12785043.0,12745359.0,12790182.0,12823860.0,12848554.0,12868747.0,12873761.0,12851684.0,12854526.0,12821497.0,1965.0,1965,1966.0,1966.0,1966.0,1967.0,1967.0,1967.0,1968.0,1968.0,35.9,36.2,36.4,36.6,36.8,37.0,37.3,37.4,37.7,37.9
