State,2008_Avg_ZHVI,2009_Avg_ZHVI,2010_Avg_ZHVI,2011_Avg_ZHVI,2012_Avg_ZHVI,2013_Avg_ZHVI,2014_Avg_ZHVI,2015_Avg_ZHVI,2016_Avg_ZHVI,2017_Avg_ZHVI,2018_Avg_ZHVI,2019_Avg_ZHVI,2008_Avg_MSR,2009_Avg_MSR,2010_Avg_MSR,2011_Avg_MSR,2012_Avg_MSR,2013_Avg_MSR,2014_Avg_MSR,2015_Avg_MSR,2016_Avg_MSR,2017_Avg_MSR,2018_Avg_MSR,2019_Avg_MSR,2008_Avg_NS,2009_Avg_NS,2010_Avg_NS,2011_Avg_NS,2012_Avg_NS,2013_Avg_NS,2014_Avg_NS,2015_Avg_NS,2016_Avg_NS,2017_Avg_NS,2018_Avg_NS,2019_Avg_NS,2008_Avg_FR,2009_Avg_FR,2010_Avg_FR,2011_Avg_FR,2012_Avg_FR,2013_Avg_FR,2014_Avg_FR,2015_Avg_FR,2016_Avg_FR,2017_Avg_FR,2018_Avg_FR,2019_Avg_FR,State Name,%Increase/Decrease_ZHVI,%Increase/Decrease_MSR,%Increase/Decrease_NS,%Increase/Decrease_FR,Lat,Lng
AK,257757.73167438273,255277.2561728395,255265.84567901245,252652.66203703717,257154.49061561562,261483.09355921848,260587.85927216415,263911.0062250411,260905.36141975306,265698.3184092478,269695.78200483095,274733.0770750988,250938.88888888888,248385.83333333334,251926.6666666667,247694.16666666666,249733.33333333334,260123.33333333334,263983.3333333333,265137.6068376068,273618.4523809524,276357.1428571429,276275.00000000006,303090.1948051948,9.031944444444445,8.409722222222218,8.322916666666664,8.128472222222223,8.972222222222225,10.315972222222223,9.895833333333336,10.302083333333332,10.432870370370374,10.371527777777782,11.289351851851855,10.138924963924968,0.011509545454545456,0.014735795454545453,0.0179530303030303,0.015444128787878786,0.013249810606060609,0.015368371212121212,0.010807954545454546,0.014436174242424242,0.007722537878787878,0.00810965909090909,0.008051325757575759,0.015248245277449824,Alaska,6.585775445200034,20.78247263595622,12.256281316714997,32.48347067805224,64.2008413,-149.4936733
AL,142287.10277067454,137912.21270345466,132560.9545211982,127438.04875639253,124757.8777552856,124216.83130423917,123857.45656953278,126152.31000375371,126710.28154277391,129905.843309622,135128.46738748244,140721.53816647478,175509.33333333334,180547.1553884712,173846.45316804407,161594.14609053495,154778.68764172337,149313.1808469308,160410.8723544973,160506.19227994225,166913.64633173845,170838.230861965,182899.57805907173,192811.42181306737,5.54487804878048,4.889972899729007,5.053387533875347,5.070211038961039,6.0018939393939466,6.719020562770572,7.086444805194796,7.684117965367965,8.438446969696976,8.992694805194798,8.99621212121211,9.49210067980359,0.016703090452261298,0.02210268006700169,0.028619849246231177,0.024541436925647437,0.022357852965747705,0.03634131161236426,0.03817410192147034,0.036395614035087745,0.029826023391812874,0.02479415204678363,0.021197076023391822,0.018579561267888334,Alabama,-1.10028567151514,9.858215600918104,71.18682496346781,11.234273208243303,32.3182314,-86.902298
AR,109428.50679144384,105079.60752769165,102444.34562176622,100620.50496031746,100541.64657455386,101893.99584106366,102221.9523171412,102801.309430402,104403.71547516124,106864.87110219299,110706.66750119209,114667.53478995971,140252.14285714287,138245.55555555556,150888.746031746,146917.72727272726,143810.74735449732,150323.69791666666,146687.82407407404,147823.53174603175,145568.2199546485,153188.90985324947,159641.19496855346,168384.95711835334,4.335545366795363,3.9887387387387414,3.833896396396402,3.74943693693694,3.7656250000000044,4.231981981981988,4.307995495495498,4.58671171171172,5.3794266441821375,5.759134345137727,5.925941540191133,5.654203964585312,0.010238047138047133,0.023586391694725022,0.03402805836139171,0.024478591470258132,0.011072166105499442,0.017768265993265996,0.02425331088664421,0.012681369248035916,0.012303733221476508,0.011055313199105148,0.011783920581655484,0.012020540250994796,Arkansas,4.787626325287212,20.058741127303712,30.415057074230123,17.41047964434032,35.20105,-91.8318334
AZ,257791.88024570871,222270.16888570826,208525.8312647754,192496.05754712067,192090.25600354065,210370.32837052536,219667.3631944443,224545.7671612376,235508.48577910563,245929.40762726997,261890.89103389115,275311.09032409015,226407.7906976744,176530.95195879773,162135.60996563573,145286.41895141892,152584.797979798,177200.01951600306,183870.43763368236,196480.29312169307,210747.5397048082,229344.1715116281,250549.2248062016,266456.50046981435,18.65064935064935,26.02174107142858,26.325285565939794,29.85621857438631,35.41979487179488,35.87398373983739,33.06489898989899,35.01985325852394,37.75686096106448,39.37664861863115,38.83067632850245,38.75638915030221,0.09463225454545462,0.13956324373651904,0.13865724826388906,0.13238908798813642,0.07226511986301368,0.059774971751412415,0.04646907968574636,0.031104901725791004,0.021606489156268564,0.016913494623655916,0.011267614850427352,0.00941172968235468,Arizona,6.795873501400969,17.688750748695547,107.80182191861782,-90.0544167233869,34.0489281,-111.0937311
CA,468233.71145014383,423004.03460836154,422985.65160346066,401367.3600693526,406446.894985464,446805.1623243503,476875.1169130697,503387.1029916204,536483.4835615861,569431.0510392364,615508.1071340708,626331.2937269371,407465.84733893553,342550.98595133144,347274.1681938855,330089.6528272984,338443.9731226776,399430.5801749056,446907.43583797175,484121.2619233112,515830.06756083877,549819.5213863018,606957.5652356899,617881.883531382,15.571647509578455,18.937251495425755,18.22401102677528,18.567577593964746,20.25150879296564,20.629228278690668,19.528821124409358,21.153240078195907,21.924785704147578,22.777819147460953,21.260338791643182,20.82603676516722,0.19650673606447386,0.24336039161818532,0.21293896839192222,0.20542833900585306,0.14505450136182724,0.06536230560818851,0.03688029079938325,0.028936317282169118,0.022029894508720345,0.01354103803716607,0.00964221376823016,0.006600223192395527,California,33.764673155881276,51.64016507558229,33.74330977089405,-96.64122292976765,36.778261,-119.4179324
CO,253618.98120004765,245395.78215432473,241199.4689523288,237452.87529125105,239758.2621693122,255112.31836715777,270234.2770542249,292758.44300780015,313756.48809076677,331518.9515337328,355129.4945205482,370922.9168119553,217074.26470588235,215294.25331294592,224658.17191283297,222233.37930803053,230240.99999999997,247694.47746883982,262632.5938404711,290546.97928765,318680.1591997745,345185.8232323233,375105.6944444444,392713.47979797976,13.267979797979828,11.296613011401742,11.22411489645959,11.53744201457919,13.61812458581842,16.334990059642134,17.159874088800542,19.024683484504944,19.598844884488475,20.084436930590797,19.177350427350444,19.731269015884415,0.09766219660194177,0.11062373188405807,0.08862502003205121,0.08434855555555557,0.08178119047619047,0.053861646825396806,0.028772400793650788,0.019262487275195125,0.013243088467614537,0.007637028301886794,0.0029817806603773585,0.0009409516152086906,Colorado,46.25203328901535,80.9120396331062,48.71343879260866,-99.0365242151537,39.5500507,-105.7820674
CT,347249.2153416186,323905.3924581005,313118.0145833333,300227.8016975309,288950.1955954574,293717.91701494437,294941.3222216033,295011.94560111687,298319.4267612294,301334.0385971055,306134.3323996265,307665.4107461166,274524.28571428574,307153.94345238095,307529.1666666667,272627.4404761905,267464.4809438927,269065.54089026916,265795.91666666674,280403.08641975315,290060.08579094516,287686.0742630385,295594.0476190476,293436.04761904763,9.02924187725632,8.227737665463295,8.122162485065708,6.783452807646357,7.468040621266427,9.441756272401436,9.628434886499406,10.894862604540027,11.133213859020309,12.154719235364398,12.00627240143369,11.70329006915028,0.0028476171875000005,0.02943528645833333,0.04725904392764862,0.03821350129198969,0.02786818475452196,0.018429134366925067,0.00711734496124031,0.03720552325581398,0.035546285529715754,0.036021479328165386,0.039913985788113705,0.031048179846639164,Connecticut,-11.399249543749155,6.888921268133095,29.615423179985868,990.3214091742856,41.6032207,-73.087749
DC,483599.1902777777,458940.0694444444,459613.4194444445,459278.6708333332,467900.16111111117,506845.4801587303,544902.2328042327,563037.7341269841,584612.0251322751,609986.6719576719,634939.816137566,662305.8124098125,377366.0,414258.3333333333,441138.88888888893,421514.46969696967,423751.6666666667,468290.2777777778,491883.9743589743,508345.238095238,548769.2424242423,564727.731092437,587388.725490196,607160.5882352941,16.147619047619052,16.976190476190474,18.91269841269841,17.634920634920636,18.61111111111111,23.583333333333336,27.481060606060613,28.20454545454546,29.06439393939394,34.17609126984127,32.40972222222222,32.65,0.029335,0.058518055555555545,0.05460185185185186,0.042307870370370364,0.007951388888888888,0.00047777777777777776,0.0008839598997493732,0.0032640350877192986,0.0037605263157894746,0.012849433106575965,0.007907539682539683,0.007087018140589568,District of Columbia,36.9534576824635,60.89435408470665,102.19699203774691,-75.84108355006113,38.9071923,-77.0368707
DE,300988.79071969696,281541.64835858584,272534.58585858584,256029.80492424237,248251.02830687823,249140.88940648714,258817.4130434783,263802.4577294686,270780.8762077294,275315.4051932368,283876.1437198068,290346.7905138339,235473.33333333334,223635.18518518517,216040.74074074076,217623.2323232323,206953.86904761902,205318.58974358972,204143.0729166667,233334.75390551478,235962.10622710624,251531.93542568546,260473.51190476186,268667.2077922078,8.899999999999997,8.918974358974362,8.902777777777784,9.497474747474746,13.428030303030305,13.909090909090907,13.41287878787879,13.260101010101014,16.619651741293534,18.88184079601989,18.53980099502488,19.164831685727208,0.01397448275862069,0.023311101694915255,0.02550763888888889,0.03984652777777777,0.055847638888888884,0.04087194444444445,0.04161958333333335,0.023570972222222222,0.03431415300546448,0.04558169398907103,0.05712349726775958,0.04222282786885245,Delaware,-3.5356799103437884,14.096659689225005,115.33518748008107,202.1423304043629,38.9108325,-75.52766989999999
FL,217942.68727927128,187828.21114620715,176393.55878007688,164023.6826339263,164577.9572504494,180208.1645921217,196303.81553483463,212094.35079797983,227251.04410184035,240771.92200609818,254257.9297011126,263404.07840772,205161.77028218698,161831.19744024103,149442.77790076082,138131.3531878749,147198.49621310682,165782.01190125945,179155.29974489775,191246.9519887371,204515.78967711498,220785.66750495706,238663.12949640292,251467.6711163536,17.681107099879647,21.64967532467536,24.639380379867582,26.892319727891152,29.126724231122648,34.4470946870723,36.706138079981656,40.17614868862155,38.740082793376565,39.687147455548704,42.00776326386793,41.087983924109764,0.03334848866498736,0.0501744606353179,0.06507767587563949,0.06380332731939237,0.04858959884901829,0.042353918743509814,0.0474052559088421,0.041091304014612855,0.02154945007507506,0.009953998615106008,0.00799182727606462,0.006576426247210936,Florida,20.8593331099908,22.570433453793946,132.38354754601,-80.27968729474827,27.6648274,-81.5157535
