,State,2008_Avg_ZHVI,2009_Avg_ZHVI,2010_Avg_ZHVI,2011_Avg_ZHVI,2012_Avg_ZHVI,2013_Avg_ZHVI,2014_Avg_ZHVI,2015_Avg_ZHVI,2016_Avg_ZHVI,2017_Avg_ZHVI,2018_Avg_ZHVI,2019_Avg_ZHVI,2008_Avg_MSR,2009_Avg_MSR,2010_Avg_MSR,2011_Avg_MSR,2012_Avg_MSR,2013_Avg_MSR,2014_Avg_MSR,2015_Avg_MSR,2016_Avg_MSR,2017_Avg_MSR,2018_Avg_MSR,2019_Avg_MSR,2008_Avg_NS,2009_Avg_NS,2010_Avg_NS,2011_Avg_NS,2012_Avg_NS,2013_Avg_NS,2014_Avg_NS,2015_Avg_NS,2016_Avg_NS,2017_Avg_NS,2018_Avg_NS,2019_Avg_NS,2008_Avg_FR,2009_Avg_FR,2010_Avg_FR,2011_Avg_FR,2012_Avg_FR,2013_Avg_FR,2014_Avg_FR,2015_Avg_FR,2016_Avg_FR,2017_Avg_FR,2018_Avg_FR,2019_Avg_FR,2008_Div Rate,2009_Div Rate,2010_Div Rate,2011_Div Rate,2012_Div Rate,2013_Div Rate,2014_Div Rate,2015_Div Rate,2016_Div Rate,2017_Div Rate,2018_Div Rate,2008_unemployment,2009_unemployment,2010_unemployment,2011_unemployment,2012_unemployment,2013_unemployment,2014_unemployment,2015_unemployment,2016_unemployment,2017_unemployment,2018_unemployment,2019_unemployment
0,AK,257757.73,255277.26,255265.85,252652.66,257154.49,261483.09,260587.86,263911.01,260905.36,265698.32,269695.78,274733.08,250938.89,248385.83,251926.67,247694.17,249733.33,260123.33,263983.33,265137.61,273618.45,276357.14,276275.0,303090.19,650.3,605.5,599.25,585.25,646.0,742.75,712.5,741.75,751.17,746.75,812.83,730.0,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,4.4,4.4,4.7,4.8,4.5,4.46,3.95,4.14,3.95,3.58,3.73,6.71,7.73,7.88,7.57,7.13,7.0,6.87,6.53,6.85,6.94,6.6,6.35
1,AL,142287.1,137912.21,132560.95,127438.05,124757.88,124216.83,123857.46,126152.31,126710.28,129905.84,135128.47,140721.54,175509.33,180547.16,173846.45,161594.15,154778.69,149313.18,160410.87,160506.19,166913.65,170838.23,182899.58,192811.42,3410.1,3007.33,3107.83,3123.25,3697.17,4138.92,4365.25,4733.42,5198.08,5539.5,5541.67,5847.13,0.02,0.02,0.03,0.02,0.02,0.04,0.04,0.04,0.03,0.02,0.02,0.02,4.3,4.4,4.4,4.3,3.6,3.68,3.79,3.85,3.78,3.66,3.71,5.72,10.99,10.54,9.62,7.98,7.22,6.76,6.08,5.85,4.43,3.94,3.37
2,AR,109428.51,105079.61,102444.35,100620.5,100541.65,101894.0,102221.95,102801.31,104403.72,106864.87,110706.67,114667.53,140252.14,138245.56,150888.75,146917.73,143810.75,150323.7,146687.82,147823.53,145568.22,153188.91,159641.19,168384.96,2566.64,2361.33,2269.67,2219.67,2229.25,2505.33,2550.33,2715.33,3190.0,3415.17,3514.08,3335.98,0.01,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,5.5,5.7,5.7,5.3,5.3,5.01,4.85,4.84,3.93,3.72,4.07,5.5,7.83,8.19,8.29,7.58,7.22,6.02,5.03,3.95,3.71,3.7,3.57
3,AZ,257791.88,222270.17,208525.83,192496.06,192090.26,210370.33,219667.36,224545.77,235508.49,245929.41,261890.89,275311.09,226407.79,176530.95,162135.61,145286.42,152584.8,177200.02,183870.44,196480.29,210747.54,229344.17,250549.22,266456.5,5744.4,8326.96,8450.42,9613.7,11511.43,11766.67,10911.42,11591.57,12799.58,13506.19,13396.58,13370.95,0.09,0.14,0.14,0.13,0.07,0.06,0.05,0.03,0.02,0.02,0.01,0.01,3.8,3.6,3.5,3.9,4.3,3.93,3.89,3.58,3.35,3.48,2.95,6.14,9.93,10.35,9.5,8.33,7.74,6.8,6.05,5.4,4.89,4.8,4.93
4,CA,468233.71,423004.03,422985.65,401367.36,406446.89,446805.16,476875.12,503387.1,536483.48,569431.05,615508.11,626331.29,407465.85,342550.99,347274.17,330089.65,338443.97,399430.58,446907.44,484121.26,515830.07,549819.52,606957.57,617881.88,24385.2,30754.1,29996.72,30785.04,33779.52,34533.33,32867.01,35897.05,37447.53,39109.52,36674.08,35924.91,0.2,0.24,0.21,0.21,0.15,0.07,0.04,0.03,0.02,0.01,0.01,0.01,,,,,,,,,,,,7.29,11.14,12.23,11.71,10.38,8.94,7.5,6.2,5.48,4.78,4.19,4.13
5,CO,253618.98,245395.78,241199.47,237452.88,239758.26,255112.32,270234.28,292758.44,313756.49,331518.95,355129.49,370922.92,217074.26,215294.25,224658.17,222233.38,230241.0,247694.48,262632.59,290546.98,318680.16,345185.82,375105.69,392713.48,6567.65,5614.42,5600.83,5803.33,6849.92,8216.5,8631.42,9588.44,9897.42,10182.81,9722.92,10003.75,0.1,0.11,0.09,0.08,0.08,0.05,0.03,0.02,0.01,0.01,0.0,0.0,4.3,4.3,4.3,4.4,4.3,4.07,3.87,3.73,3.57,3.19,3.27,4.85,7.3,8.73,8.36,7.89,6.85,4.99,3.84,3.22,2.7,3.25,3.09
6,CT,347249.22,323905.39,313118.01,300227.8,288950.2,293717.92,294941.32,295011.95,298319.43,301334.04,306134.33,307665.41,274524.29,307153.94,307529.17,272627.44,267464.48,269065.54,265795.92,280403.09,290060.09,287686.07,295594.05,293436.05,2501.1,2279.08,2266.08,1892.58,2083.58,2634.25,2686.33,3039.67,3106.17,3391.17,3349.75,3265.22,0.0,0.03,0.05,0.04,0.03,0.02,0.01,0.04,0.04,0.04,0.04,0.03,3.4,3.0,2.9,3.1,2.7,2.76,2.58,3.13,3.17,2.87,2.85,5.67,7.93,9.13,8.83,8.35,7.81,6.63,5.73,5.16,4.7,4.12,3.72
7,DC,483599.19,458940.07,459613.42,459278.67,467900.16,506845.48,544902.23,563037.73,584612.03,609986.67,634939.82,662305.81,377366.0,414258.33,441138.89,421514.47,423751.67,468290.28,491883.97,508345.24,548769.24,564727.73,587388.73,607160.59,339.1,356.5,397.17,370.33,390.83,495.25,604.58,620.5,639.42,820.23,777.83,783.6,0.03,0.06,0.05,0.04,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,2.7,2.7,2.8,2.9,2.9,2.84,2.58,2.83,2.74,2.48,2.52,6.44,9.28,9.41,10.16,9.04,8.49,7.77,6.88,6.1,6.06,5.56,5.51
8,DE,300988.79,281541.65,272534.59,256029.8,248251.03,249140.89,258817.41,263802.46,270780.88,275315.41,283876.14,290346.79,235473.33,223635.19,216040.74,217623.23,206953.87,205318.59,204143.07,233334.75,235962.11,251531.94,260473.51,268667.21,569.6,579.73,587.58,626.83,886.25,918.0,885.25,875.17,1113.52,1265.08,1242.17,1284.04,0.01,0.02,0.03,0.04,0.06,0.04,0.04,0.02,0.03,0.05,0.06,0.04,3.5,3.6,3.5,3.6,3.5,3.38,3.26,3.09,3.08,2.96,2.8,4.97,8.26,8.42,7.5,7.21,6.69,5.72,4.85,4.52,4.48,3.78,3.41
9,FL,217942.69,187828.21,176393.56,164023.68,164577.96,180208.16,196303.82,212094.35,227251.04,240771.92,254257.93,263404.08,205161.77,161831.2,149442.78,138131.35,147198.5,165782.01,179155.3,191246.95,204515.79,220785.67,238663.13,251467.67,14693.0,18099.13,21239.15,23530.78,25660.64,30761.26,33329.17,37042.41,35873.32,36988.42,39739.34,38869.23,0.03,0.05,0.07,0.06,0.05,0.04,0.05,0.04,0.02,0.01,0.01,0.01,4.3,4.2,4.4,4.5,4.2,4.11,3.97,3.96,3.87,3.61,3.62,6.3,10.39,11.03,9.99,8.48,7.23,6.28,5.44,4.82,4.2,3.56,3.35
