Data,Series Id,Adjusted?,Area,Area Type,State/Region/Division,Measure,State Abbreviation,Years,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST010000000000003,Seasonally Adjusted,Alabama,Statewide,Alabama,unemployment rate,AL,2008 to 2019, 5.72 , 10.99 , 10.54 , 9.62 , 7.98 , 7.22 , 6.76 , 6.08 , 5.85 , 4.43 , 3.94 , 3.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST020000000000003,Seasonally Adjusted,Alaska,Statewide,Alaska,unemployment rate,AK,2008 to 2019, 6.71 , 7.73 , 7.88 , 7.57 , 7.13 , 7.00 , 6.87 , 6.53 , 6.85 , 6.94 , 6.60 , 6.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST040000000000003,Seasonally Adjusted,Arizona,Statewide,Arizona,unemployment rate,AZ,2008 to 2019, 6.14 , 9.93 , 10.35 , 9.50 , 8.33 , 7.74 , 6.80 , 6.05 , 5.40 , 4.89 , 4.80 , 4.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST050000000000003,Seasonally Adjusted,Arkansas,Statewide,Arkansas,unemployment rate,AR,2008 to 2019, 5.50 , 7.83 , 8.19 , 8.29 , 7.58 , 7.22 , 6.02 , 5.03 , 3.95 , 3.71 , 3.70 , 3.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST060000000000003,Seasonally Adjusted,California,Statewide,California,unemployment rate,CA,2008 to 2019, 7.29 , 11.14 , 12.23 , 11.71 , 10.38 , 8.94 , 7.50 , 6.20 , 5.48 , 4.78 , 4.19 , 4.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST080000000000003,Seasonally Adjusted,Colorado,Statewide,Colorado,unemployment rate,CO,2008 to 2019, 4.85 , 7.30 , 8.73 , 8.36 , 7.89 , 6.85 , 4.99 , 3.84 , 3.22 , 2.70 , 3.25 , 3.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST090000000000003,Seasonally Adjusted,Connecticut,Statewide,Connecticut,unemployment rate,CT,2008 to 2019, 5.67 , 7.93 , 9.13 , 8.83 , 8.35 , 7.81 , 6.63 , 5.73 , 5.16 , 4.70 , 4.12 , 3.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST100000000000003,Seasonally Adjusted,Delaware,Statewide,Delaware,unemployment rate,DE,2008 to 2019, 4.97 , 8.26 , 8.42 , 7.50 , 7.21 , 6.69 , 5.72 , 4.85 , 4.52 , 4.48 , 3.78 , 3.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST110000000000003,Seasonally Adjusted,District of Columbia,Statewide,District of Columbia,unemployment rate,DC,2008 to 2019, 6.44 , 9.28 , 9.41 , 10.16 , 9.04 , 8.49 , 7.77 , 6.88 , 6.10 , 6.06 , 5.56 , 5.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST120000000000003,Seasonally Adjusted,Florida,Statewide,Florida,unemployment rate,FL,2008 to 2019, 6.30 , 10.39 , 11.03 , 9.99 , 8.48 , 7.23 , 6.28 , 5.44 , 4.82 , 4.20 , 3.56 , 3.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST130000000000003,Seasonally Adjusted,Georgia,Statewide,Georgia,unemployment rate,GA,2008 to 2019, 6.27 , 9.93 , 10.49 , 10.23 , 9.19 , 8.20 , 7.10 , 5.97 , 5.37 , 4.68 , 3.93 , 3.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST150000000000003,Seasonally Adjusted,Hawaii,Statewide,Hawaii,unemployment rate,HI,2008 to 2019, 4.33 , 7.13 , 6.95 , 6.80 , 6.01 , 4.88 , 4.36 , 3.57 , 2.95 , 2.42 , 2.44 , 2.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST160000000000003,Seasonally Adjusted,Idaho,Statewide,Idaho,unemployment rate,ID,2008 to 2019, 5.14 , 8.73 , 8.97 , 8.32 , 7.20 , 6.12 , 4.83 , 4.23 , 3.80 , 3.23 , 2.84 , 2.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST170000000000003,Seasonally Adjusted,Illinois,Statewide,Illinois,unemployment rate,IL,2008 to 2019, 6.31 , 10.20 , 10.37 , 9.69 , 8.99 , 9.04 , 7.10 , 5.96 , 5.81 , 4.91 , 4.28 , 4.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST180000000000003,Seasonally Adjusted,Indiana,Statewide,Indiana,unemployment rate,IN,2008 to 2019, 5.92 , 10.29 , 10.34 , 9.11 , 8.35 , 7.63 , 5.96 , 4.83 , 4.43 , 3.54 , 3.45 , 3.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST190000000000003,Seasonally Adjusted,Iowa,Statewide,Iowa,unemployment rate,IA,2008 to 2019, 4.23 , 6.39 , 6.01 , 5.53 , 5.03 , 4.73 , 4.24 , 3.78 , 3.58 , 3.09 , 2.53 , 2.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST200000000000003,Seasonally Adjusted,Kansas,Statewide,Kansas,unemployment rate,KS,2008 to 2019, 4.63 , 6.87 , 7.06 , 6.49 , 5.73 , 5.31 , 4.53 , 4.15 , 4.03 , 3.66 , 3.35 , 3.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST210000000000003,Seasonally Adjusted,Kentucky,Statewide,Kentucky,unemployment rate,KY,2008 to 2019, 6.47 , 10.33 , 10.17 , 9.38 , 8.17 , 8.02 , 6.46 , 5.28 , 5.14 , 4.91 , 4.34 , 4.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST220000000000003,Seasonally Adjusted,Louisiana,Statewide,Louisiana,unemployment rate,LA,2008 to 2019, 4.93 , 6.83 , 7.95 , 7.83 , 7.09 , 6.68 , 6.37 , 6.32 , 6.07 , 5.13 , 4.88 , 4.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
