RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
102001,United States,0,183000,179300,175300,172100,171200,170900,170000,168400,165800,162000,160000,158700,157200,152800,149200,148300,150200,152600,154500,155600,156700,157300,158800,159600,160500,158000,155400,152800,152900,153200,154600,154000,153700,152400,153000,152300,149600,146700,144400,144600,145400,145600,145700,145500,145900,146400,146300,146200,146700,147800,149300,151000,153000,155300,155900,156300,156700,159000,160500,161500,162200,163300,165200,166500,169600,171800,173000,172700,171800,171800,171600,172200,172200,172500,172700,173700,175200,176800,177800,178300,178500,179300,180600,182800,184500,186100,186800,187400,188200,188200,188400,187900,187900,189400,191300,192600,192700,193000,193100,194400,195400,197300,197800,199400,201100,202300,203700,204200,205600,205300,205600,206200,207300,208300,210100,211300,213100,213600,217000,221100,224500,224300,221600,220000,219500,219600,219700,220500,222400,223300,226900,229700,232700,232300,232100,233000,233800,234500,235200,236900,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362600,363000,362100,361600,361800,360600,356200,354600,352000,353500,349400,344100,340100,338700,341000,345800,349400,353400,354900,355300,352100,349700,351900,355500,354100,353100,348700,352700,349100,354700,354500,359300,362300,365100,366900,363000,361600,362000,365400,365300,363900,363000,363400,363400,364700,363900,361600,360100,360600,367700,370100,370700,366600,363700,365000,362700,362200,361500,362500,364200,366500,365000,364100,363100,363300,363700,362000,363700,365000,364600,366700,365900,366700,362600,363400,363600,367200,369000,369700,371200,368800,370200,369700,373900,375800,377900,376200,377100,377400,380600,381400,382800,382400,382900,382400,383600,384900,387300,388300,388500,390400,392000,393600,395200,396400,397800,401500,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,471200,459500,443200,432100,417800,405600,391000,378600,366500,355000,341200,331200,325100,319400,316300,322700,332800,341600,347800,353100,360100,362300,364800,362500,360900,357600,360400,358300,360400,356200,361300,360000,361900,357100,352700,351400,350000,350600,345900,342400,340900,339300,338900,334200,334000,331600,332000,330500,331600,337000,340000,344500,348400,355900,364200,371300,379200,386600,391100,395100,401600,414600,426000,436500,442800,447300,450200,451500,453000,452900,451100,452600,451900,456000,459900,462700,465700,466900,470200,473400,474700,476200,476400,482100,486800,492000,490500,493900,495100,499700,499000,498900,501000,507800,515500,517100,517900,519100,523800,524900,526000,528700,531500,528600,526800,522300,525100,521200,526000,528400,536200,537900,539900,541700,548600,560100,578100,587600,595100,596900,602600,603100,604300,606400,609100,611100,613900,619900,626700,625400,625900,624400,631100,635500,633000,631200,633500,637900,642800,645200,654000
394463,"Chicago, IL",3,253900,248800,232400,220600,218600,220000,224400,223500,218100,212900,206600,205300,201900,195500,186600,180500,182000,186800,190200,192400,192600,192300,193000,195000,193200,188800,181300,178600,174200,175500,173900,178100,178100,179000,177100,175400,170800,164900,157900,155900,157800,161500,163100,161200,157500,156200,153600,153500,153200,154300,153500,155000,157000,159300,158600,156500,157300,156800,158600,155600,155300,154700,158400,162900,171300,176600,180500,181000,182000,182600,181900,182700,180800,179400,178700,182500,187000,191700,194600,194600,193000,190900,191500,191500,192600,193300,194000,193900,192900,188100,185900,183500,182700,181200,180000,181400,182400,183700,184200,184500,186000,188700,189000,190500,191100,194500,196600,200600,203000,203500,202100,199300,198100,198300,199600,200900,201600,203800,206300,211500,217600,219500,216900,215000,216000,217500,217500,218800,223500,219800,222300,227000,237900,238300,233400,227600,225400,225500,227100,229200,231300
394514,"Dallas-Fort Worth, TX",4,146000,143900,142200,141600,143500,145500,145800,144200,142800,141000,141300,141200,141600,139400,139900,141900,145400,147700,148500,148100,146900,145400,145800,146200,147100,147200,145600,145800,146000,149900,151600,150700,149400,149400,152300,151600,148000,142800,140900,141700,144300,146700,148600,148600,147500,148800,150600,152300,153000,153300,155100,156500,158500,159500,161900,162100,162100,161700,164000,164700,165000,166800,169800,172200,174700,176200,178100,177100,177700,177400,177600,178100,178900,179000,179300,180300,182000,183900,184400,185400,186500,189100,192800,194500,195400,194800,196700,198300,200300,200600,201500,201800,202500,203300,206100,208400,210000,209900,211500,213800,215000,216500,218500,221600,224400,225400,229500,232700,235200,233900,232700,232200,231800,233400,235600,238600,239500,241800,246000,250300,251700,249100,247100,246600,247500,246000,246100,245300,247000,247300,250900,252100,252300,250300,251200,252400,253300,255700,259000,262400,
394974,"Philadelphia, PA",5,212100,211900,207900,200100,196000,196100,198300,198300,199100,196400,195500,194400,198300,198800,194600,188900,185500,187500,189700,192000,194600,197200,199700,200800,201300,201800,196200,190800,186900,184200,186200,187100,192600,194200,197300,198400,196200,192300,183800,181000,179400,181800,182100,182400,182500,183900,184000,186100,185800,185600,183800,184000,183200,184400,181900,183300,184800,189400,191100,190600,189300,188800,187000,188000,189900,193000,192800,192000,192200,192300,192000,190300,191400,190500,190200,189600,189300,190800,190500,191400,190200,189400,189000,188400,189300,191900,192100,192100,189900,190200,191200,191200,190800,187300,188500,190600,192000,190300,189600,191600,193500,192500,191800,190400,191200,194300,194000,196700,195500,197400,198400,199300,199900,196900,195700,194200,194700,195600,196400,194300,195600,196400,199400,197800,196600,196700,197100,197700,199400,201400,203400,206200,207600,213800,214100,216400,213700,214000,212300,213700,
394692,"Houston, TX",6,145800,144300,141600,142400,143800,145300,147100,144800,141000,135500,134500,134700,137000,139000,141800,145000,147400,149900,150800,149900,147600,144900,144300,144100,144800,145300,143800,143200,142300,144600,145400,146000,147000,149500,149200,148200,145100,142900,141500,142400,143900,146700,147100,148700,148500,150300,148600,145700,144000,147100,150900,154400,155200,156000,154500,153800,155100,156100,156300,154200,154800,159100,163700,167500,169300,171000,172000,171500,172400,172500,172600,173500,175000,177500,178100,178600,177800,180100,180600,182000,180500,181400,183100,184300,185100,184900,186100,188100,189600,190900,188800,188200,186300,188100,189300,190000,188100,188900,191800,196100,199500,201200,203600,204400,207600,209900,211900,211500,211200,211100,211500,212400,212000,211900,212600,215600,217600,217400,217100,218000,218600,220300,220900,220700,219900,219300,221100,223700,226200,230100,230000,230800,228600,230300,230500,230100,228000,228500,231600,238300,
395209,"Washington, DC",7,353300,343500,327400,313800,309400,307900,301600,293300,287500,280100,278900,273900,276500,270700,269000,270200,277900,288600,292100,289700,285800,283400,282400,278800,276400,278700,278700,276800,280800,277000,285000,281300,291100,289500,286800,286400,281600,280800,276700,277800,286300,293100,302100,293600,290500,281800,284800,279800,291100,297400,308400,311000,318400,320800,318700,315900,318000,317600,319100,314700,323400,327600,338100,340700,345700,346700,344600,340800,340600,339800,341600,339100,341200,339000,345900,347200,352000,348000,346500,345400,346700,350000,348400,349200,354700,356000,354200,346300,343800,342400,345600,347900,348700,342900,342400,345800,348300,349600,346900,347700,347900,349600,350400,353200,351900,352800,355000,356300,358600,358300,360100,358600,359300,359000,362500,362600,365500,368000,370300,371700,377900,381000,382400,376100,372700,373500,374500,376200,377800,379000,380900,383700,393400,394300,392800,385100,384000,384100,387000,387700,
394856,"Miami-Fort Lauderdale, FL",8,253400,244700,236200,229600,225300,222800,214300,206300,194200,186900,174800,166100,157800,150300,143000,138300,139800,142300,144400,143800,144000,144400,144000,143300,142300,140700,140100,137700,134100,129700,125500,126600,127300,126600,120200,115700,112800,114400,117700,120800,124900,123700,123000,121500,121100,123800,126500,130000,130100,132100,131800,135400,135400,137400,138800,140800,142500,147300,151700,155300,153100,154200,158200,162300,165200,168700,171300,172400,172600,174600,176700,175900,176600,177100,179300,181200,185500,186000,187100,185800,190200,192400,194200,193900,195400,197300,202500,206100,208500,207800,207500,207500,205100,205600,207000,213500,215300,217700,217700,219200,220600,222900,225900,228500,227400,227400,227400,232600,234300,237300,236000,237600,237600,241400,243700,245400,245100,246900,250900,254000,256800,256100,254400,253600,252100,252600,251500,256100,259200,261700,259200,262700,266100,268800,266300,266200,266300,269100,268200,273400,
394347,"Atlanta, GA",9,161200,153400,148600,145400,144900,146300,144700,143100,136000,129800,125400,122700,120200,115400,112600,113000,118200,123500,128100,130400,132900,133100,131800,126700,121500,118600,119300,119300,118000,115300,116300,117100,119000,117600,117500,111200,106300,100300,98000,97000,97300,98200,96200,92100,91300,91800,93400,92300,93100,94000,95800,97000,98900,101300,103700,104700,106700,110700,113800,117900,121300,126200,129100,133500,137700,141000,139800,138700,138100,139000,139300,140700,140900,142000,144400,150300,154200,156700,154800,156200,154700,158900,158500,162600,162500,171200,172900,174900,170600,170900,171500,170600,172500,173100,175100,174400,174900,174800,174700,172900,173700,173900,176200,176800,179600,178900,181500,181500,185100,185300,187100,188100,188600,187300,188100,190400,192900,194300,196700,201000,203000,204100,203600,204900,204800,201700,203800,205500,210000,210700,215400,218400,219400,217200,218500,220200,222400,222100,224600,225700,
