"RegionID","RegionName","SizeRank","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
9,"California",1,,,425099,420271.5,415373,405770.333333333,397090.666666667,388983.666666667,381446.666666667,373831,366295.333333333,358573,351506.666666667,346097.333333333,341755.666666667,337681.666666667,334094,331393.666666667,330593.666666667,330296,330207,330076.333333333,331322.666666667,332935.333333333,333954,333331.333333333,334167.666666667,335540,337425.333333333,336942,336251.333333333,335048,333940.666666667,331647,328991.666666667,326735.333333333,324671.333333333,322714,320518.333333333,318638,315884,314273.333333333,313492,312513,310862.333333333,308308.333333333,307117,305708.333333333,304732,303909,304014,304897.333333333,306548.333333333,308806,311883,315317.333333333,318729.666666667,322308,325747.333333333,330578.666666667,335447.333333333,341380.666666667,347169.666666667,353685.666666667,360320,366987.666666667,373914.666666667,380400.333333333,386765,391946.333333333,396788,401190.666666667,405755.333333333,409667,411825.666666667,412563.666666667,412878,413563.333333333,414881.333333333,415588.666666667,416840.333333333,418305,420830.333333333,422968.666666667,425349,427993.333333333,431196,433402.333333333,435747.333333333,437546.666666667,439005.333333333,441136.666666667,443916.333333333,447618.666666667,450486.666666667,454460.666666667,458173.666666667,461424,463185,465416,467583,469954,471090.666666667,473302.333333333,475614,479331.666666667,482238.666666667,484927.333333333,487945,491123,494368.333333333,497011.333333333,500087.666666667,503500,505290,507221,509634,513693.666666667,517982.333333333,522379,527129.333333333,532008,536102.333333333,539102.666666667,541376.333333333,543633.666666667,544799.666666667,545668.666666667,545938,547185.666666667,547817,547504.333333333,546958.666666667,546293.333333333,546185.666666667,546936.333333333,547971.333333333,549246.333333333,549332.333333333,549942,551012.666666667,553265.666666667,554886.333333333
54,"Texas",2,141064,140797,140586,140145.333333333,139718,139391.666666667,139171.666666667,138919,138588.666666667,138214,137757,137289.666666667,136830.666666667,136615,136466.333333333,136347,136213,136103.666666667,136109.333333333,136089.666666667,136118,136096.666666667,136327.333333333,136486,136475,136356.333333333,136318,136452.333333333,136533.333333333,136412.666666667,135977.666666667,135494,135030,134604.666666667,134047.333333333,133542.666666667,133065.333333333,132501,131973,131464,131077.333333333,130653.333333333,130503.666666667,130531,130686.666666667,130701,130496,130217.333333333,130125,130316,130695,131005.333333333,131356.333333333,131700,132183,132648,133014.333333333,133307.333333333,133691,134159.333333333,134769.333333333,135371.666666667,136148.666666667,136976,137835,138716,139655.666666667,140645.666666667,141696.666666667,142793.333333333,143856,144758,145573.333333333,146421,147201.666666667,147938.666666667,148721.666666667,149664.666666667,150554.333333333,151491.666666667,152396,153395,154414.333333333,155474,156495.333333333,157483,158503,159548.666666667,160545.333333333,161573.333333333,162546,163429.333333333,164224,165177.333333333,166128.333333333,167167.333333333,168158,169086,169906,170728,171721.333333333,172686,173669,174459,175309,176197.666666667,177406.666666667,178754.666666667,179909.666666667,181014.666666667,181881,182826.666666667,183608.333333333,184431,185094,185769,186521,187497,188544,189557,190490.333333333,191411.666666667,192387.666666667,193420.666666667,194386,195316.666666667,196097.333333333,196999.333333333,197781.666666667,198692.333333333,199485.333333333,200454,201571.333333333,202611,203290,203667.666666667,204050,204512.333333333,205021,205667,206443.333333333,206910,207301
43,"New York",3,287034,286650,286135.333333333,285142.666666667,283804.666666667,282385,280935.666666667,279771,278604.333333333,277281.333333333,275811.333333333,274425.333333333,273017.333333333,271700.333333333,270339.333333333,268932.333333333,267535.666666667,266100.666666667,264918.333333333,263925.333333333,263381.666666667,263203,263208,263238,263162.333333333,263227,263140,263238.333333333,263174.666666667,263404.333333333,263499.666666667,263278,262735.333333333,261857.333333333,261005.666666667,260087,259525.666666667,259010.666666667,258596,257679.333333333,256728.666666667,255509,254662,254046,253651.333333333,253316,252772,252342,251888,251354,250842.666666667,250431.666666667,250360.666666667,250417.666666667,250569,250782,251014.666666667,251176.333333333,251416,251766.666666667,252138,252721.666666667,253178,253886.666666667,254577,255417.333333333,256244.666666667,256953.333333333,257657,258513.333333333,259346.333333333,260099.666666667,260787.333333333,261482.333333333,262253.333333333,262875.666666667,263418,263875.666666667,264183.666666667,264529,264867.333333333,265323.333333333,265751.666666667,266332.333333333,266826,267230,267471,267911,268489.666666667,269260.333333333,270054.666666667,270798.666666667,271495.666666667,272060,272607,272997.666666667,273361.666666667,273990,274822.333333333,275804.333333333,276743,277570,278347.666666667,279183.333333333,280003.333333333,280958,281978.333333333,283223,284394.333333333,285247,286039,287079.666666667,288584.666666667,290373.666666667,291984.333333333,293402,294670.666666667,296002.333333333,297385.666666667,298609.666666667,299995,301439,303006.333333333,304452.666666667,305801.666666667,307125.666666667,308504,309924,311377,312648.333333333,313830.666666667,314879.333333333,315976.333333333,317025.666666667,318255.666666667,319211.333333333,320109.333333333,320640,320995.333333333,321202.333333333,321311,321499.333333333,321933.666666667
14,"Florida",4,229142,227269,225073.666666667,221039.333333333,216745,212857.333333333,208812,204666.666666667,200403.333333333,195945.333333333,191825.333333333,187834,184184.666666667,180610.333333333,177281.333333333,173944.333333333,170918.333333333,168159.666666667,166002,164004,162116.333333333,160499,159458.333333333,158463.333333333,157691.333333333,156935,156539.333333333,156168.333333333,155707.666666667,154977.666666667,153944,152703.666666667,151315,149772,148105,146483.333333333,144901.333333333,143453,142065,140823,139647.666666667,138696.666666667,137809,137248,136807,136562.666666667,136340,136100.333333333,136037.333333333,136030.333333333,136370.666666667,136846,137464.333333333,138135,138939,139907,140963.666666667,142072.666666667,143110.666666667,144253.333333333,145661.333333333,147253.666666667,148941.666666667,150572.333333333,152435,154235.333333333,156261.666666667,158368.666666667,160614,162630.333333333,164471,166110,167662.333333333,168992.333333333,170230.333333333,171144.333333333,172075,172822.333333333,173675,174304.666666667,175152,176285,177408,178544.666666667,179594,180794,181839,182800.333333333,183848.333333333,185008.333333333,186137,187447.666666667,188899.333333333,190412,191724.333333333,193194.666666667,194701.666666667,196307.333333333,197520,198765.333333333,199914.333333333,201284.666666667,202672.333333333,204055,205310,206528,207875,209270.666666667,210604.666666667,211791.333333333,212907.666666667,214271.666666667,215629.333333333,216995.666666667,218168.333333333,219534.666666667,220866.666666667,222252.666666667,223498.333333333,224856.333333333,225852.666666667,226945.333333333,228155,229597,231041.666666667,232233.666666667,233315.333333333,234332.333333333,235376.666666667,236436,237547.333333333,238758.666666667,239864,240543,240954.333333333,241338.666666667,241734,242222.333333333,242785.666666667,243264.666666667,243728.666666667,244368.333333333,245169.333333333
21,"Illinois",5,223204,220626,220687,217842,216988.333333333,214087,213289,210994.333333333,209940.666666667,207612.666666667,205840.333333333,203097.666666667,201028.333333333,199567.333333333,197749.333333333,195915.666666667,193475,191832.666666667,190668,189834,188530,187335,186213,186041,185139.333333333,184579,182815,182816.666666667,181731.333333333,182079.666666667,180093,179275,177561.333333333,176543.666666667,174559.333333333,172798.666666667,170976,169430.666666667,168044.333333333,166369,165231.666666667,163808.333333333,163391.333333333,162539.666666667,161947.666666667,160268.333333333,159316.333333333,157665,156751.666666667,154895.666666667,154422.666666667,153907,154031.666666667,153872,153370.333333333,152997,152524.666666667,153010,153563,153936.333333333,154433,155012.333333333,155526.666666667,156320.333333333,157017,158421,159629.333333333,161308.666666667,162698,164452.666666667,165282.333333333,166247.666666667,166685.666666667,167493.333333333,167783.666666667,167921.333333333,168333.666666667,169178.333333333,169934,170370.333333333,170844.666666667,171266.333333333,171779.666666667,172221,172496.333333333,172787,173316.333333333,174163,174864,175029,175219.666666667,175318.333333333,175535.333333333,175705.666666667,175949,176542,177227.666666667,178562.333333333,179628,180530.666666667,180968,181371.333333333,181895,182347,182791.666666667,183344,184188,185311.666666667,186552,187728,188860.333333333,189839.666666667,190486.666666667,190812.666666667,191037,191441.666666667,192046,192780,193594.333333333,194646,195767.333333333,196813.333333333,197388.666666667,197833.333333333,198127.666666667,198478.333333333,198670.333333333,198870.333333333,199274,199671.333333333,200170,200577.666666667,200933,201536.333333333,202001,202458,202567.666666667,202567.333333333,202577.666666667,202583.666666667,202605.333333333,202590.666666667,202675.333333333
47,"Pennsylvania",6,176690,176579.5,176215.333333333,175670.666666667,175020.666666667,174502.333333333,173885,173274,172737.666666667,172312.666666667,171820.333333333,171125,170318.666666667,169704.333333333,169170.666666667,168650,168066.333333333,167631.666666667,167399,167210.666666667,167124.666666667,167160,167390.333333333,167618.666666667,167913,168106.333333333,168297.666666667,168374,168341,168218.666666667,167939.333333333,167554,166941.333333333,166185.333333333,165287,164415.333333333,163608.333333333,162835.333333333,162095.333333333,161224.333333333,160388,159552.666666667,158958.333333333,158613.333333333,158479.333333333,158318.333333333,158058,157715.333333333,157361,156978.333333333,156640.666666667,156409,156322.666666667,156262.666666667,156221,156227.333333333,156258.666666667,156302.666666667,156347.333333333,156434.333333333,156583.666666667,156707.666666667,156846.666666667,157081.333333333,157409.333333333,157880.333333333,158398.666666667,158826.666666667,159206.333333333,159435.333333333,159726,159900.333333333,160112.333333333,160290.333333333,160432,160463,160501.666666667,160729.666666667,161041.333333333,161262.333333333,161360.666666667,161430.666666667,161559,161763.666666667,161926.333333333,162064.666666667,162317.666666667,162744.333333333,163274,163601,163791.333333333,163984.333333333,164276.666666667,164621.666666667,164935.666666667,165210.333333333,165605.333333333,166159.333333333,166514.666666667,166795,166913.333333333,167366,167790.333333333,168311.666666667,168686.666666667,169118.666666667,169613.666666667,170365.666666667,170879.333333333,171347.333333333,171809,172598.666666667,173425.666666667,174128,174757,175405.666666667,176133,176934.333333333,177664.666666667,178469.333333333,179364.666666667,180265.333333333,181513,182587.666666667,183633,184157.666666667,184652.666666667,185132,185715.333333333,186277.333333333,186970.666666667,187719.666666667,188546,189262.333333333,189797.333333333,190224.666666667,190800.666666667,191421.666666667,192096.333333333,192721.333333333,193310.333333333,193954.666666667,194602.666666667
44,"Ohio",7,130126,129717.5,129478,128901.333333333,128377,127833.666666667,127402.666666667,127010.666666667,126637,126143,125715.333333333,125124,124447.666666667,123593.333333333,122768.333333333,122107,121566.666666667,121080.333333333,120567.666666667,120157.666666667,119896,119817.333333333,119690,119602.666666667,119512.666666667,119579.333333333,119480.333333333,119351.666666667,119106,118850.333333333,118383,117930.333333333,117432.666666667,116944.333333333,116331.666666667,115658.666666667,115094,114512.666666667,114006,113318.333333333,112635.666666667,112020.666666667,111657.333333333,111457,111261.666666667,111016.333333333,110743.333333333,110514.333333333,110200.666666667,109854.333333333,109602,109440.666666667,109248.333333333,109049.666666667,108947.666666667,109009,109128,109238.666666667,109294,109374.333333333,109523.333333333,109730,109870.666666667,110070,110375,110862.333333333,111343.333333333,111801.666666667,112119,112517.333333333,112880.666666667,113198,113213.666666667,113139,113015,113030,113149,113413.333333333,113723.333333333,113881.333333333,114053.333333333,114150,114463.666666667,114874.333333333,115468.333333333,116073.333333333,116591.666666667,117023,117479.333333333,117938.333333333,118377.666666667,118751.333333333,119086,119395,119751,120105.666666667,120582,121043,121618.666666667,122150,122600.666666667,122994.666666667,123382.333333333,123839.333333333,124323,124835.666666667,125446.666666667,126157,126940.666666667,127714.666666667,128466,129246.666666667,129959,130607,131117.333333333,131753,132441.666666667,133252.666666667,133968.333333333,134684,135213.333333333,135944.333333333,136789,137877.666666667,138857.666666667,139640.333333333,140334.333333333,140828.666666667,141288,141751.666666667,142386.333333333,143110.333333333,143974.666666667,144837.333333333,145733.666666667,146361.333333333,147042.666666667,147641,148306,148803.666666667,149386,149932.666666667,150374.333333333
30,"Michigan",8,140278,139428,138437.666666667,136322.333333333,134215.666666667,132220.666666667,130382.333333333,128429.333333333,126837.333333333,125678.333333333,124618.333333333,123109.666666667,120948.666666667,118747.666666667,116473.333333333,114530.333333333,112666.666666667,110970,109705.333333333,108639.333333333,107903,107020.333333333,106386,105811.666666667,105529,105025.333333333,104620.333333333,104333.666666667,104267.333333333,104233.333333333,103851.333333333,103408.666666667,102752,102172.333333333,101427,100799.666666667,99997.6666666667,99320,98552,97774.3333333333,97010.6666666667,96286,95867.6666666667,95833.6666666667,95997.3333333333,96162.3333333333,96145.3333333333,96101.6666666667,96029.6666666667,95948.3333333333,96208.6666666667,96468.6666666667,96899.6666666667,97352.6666666667,98107.3333333333,98923,99655.3333333333,100486.666666667,101278,101987.666666667,102674,103609.333333333,104795.666666667,105978.666666667,107100,108266.666666667,109675.333333333,111225.666666667,112749,114060,115238.666666667,116453,117697.666666667,118796,119682.333333333,120419,121138.666666667,121986.666666667,122768.666666667,123412.666666667,123792.333333333,124172.666666667,124636.666666667,125147.666666667,125732.666666667,126377,127157.666666667,127887.666666667,128436.333333333,128951,129439.333333333,130011.666666667,130377.333333333,130722,131201.666666667,132003,132865,133710.333333333,134320,135263.333333333,136195.666666667,137192.333333333,137988,138696,139556.666666667,140425.333333333,141260.333333333,142100.666666667,143099.333333333,144235.333333333,145486.333333333,146774.666666667,148105,149177.333333333,149839,150439.333333333,151063.333333333,151780,152635.333333333,153591,154990.333333333,156514.666666667,158024.666666667,159368.666666667,160516.666666667,161611.333333333,162420.666666667,163148,163763.333333333,164349,164955.333333333,165825.333333333,166748.666666667,167795.666666667,168729,169653.666666667,170569.666666667,171313.333333333,171831.666666667,172022.666666667,172347,172668,173277.333333333
16,"Georgia",9,169074,168468.5,167905,166933.666666667,166091.666666667,165270.333333333,164329,163307.666666667,162307.666666667,161124.333333333,159481.666666667,157515.333333333,155602.666666667,153881.333333333,152194,150306.333333333,148500.666666667,146923.666666667,145765.333333333,144844,143977.666666667,143052.333333333,142213.333333333,141594.333333333,140913.333333333,140283.666666667,139673.666666667,139424.333333333,139189.333333333,138829.666666667,137925,136786.333333333,135295.333333333,134026.666666667,132602.666666667,131385,130083.666666667,129062.666666667,127842.333333333,126444.333333333,124781.333333333,123350.666666667,122285.666666667,121711.666666667,121401,121142,120828,120116.666666667,119608.666666667,119102,119255,119420,119759.666666667,120162.333333333,120706.333333333,121105,121272.666666667,121492,122099,122880.666666667,123926,124971.666666667,126072.333333333,127016.666666667,128072.333333333,129261.666666667,130516,131893.666666667,133286.666666667,134681,135904.666666667,137187.333333333,138326,139378.333333333,140226.333333333,141047.666666667,141822.666666667,142552.333333333,143310.333333333,143976,144661,145288,146003.333333333,146735.333333333,147464.333333333,148091,148645.666666667,149324,150199.333333333,151110,151816,152443.333333333,153061,153677.666666667,154386.333333333,155168,156104.333333333,156956.333333333,157880.666666667,158854,159778,160486,161022.333333333,161481.666666667,161895.333333333,162531.666666667,163388.666666667,164503.666666667,165421.333333333,166357.333333333,167200.333333333,168147.666666667,169069.666666667,170060.333333333,171133,172117.333333333,173404.333333333,174641.666666667,176105.333333333,177580.333333333,179091.333333333,180547,181728.666666667,182968,184172,185363,186528.666666667,187620.333333333,188788,189956,191174.666666667,192350.333333333,193350,194307.333333333,195347.333333333,196380,197240.333333333,197757.666666667,198354.333333333,199069.333333333,199952.666666667,200733.333333333,201294.333333333
36,"North Carolina",10,172360,172184.5,172077,171799.666666667,171522,171156,170765,170416.666666667,170023.333333333,169594,168957.333333333,168197.666666667,167361.333333333,166716.666666667,166082.666666667,165307.333333333,164420.666666667,163606.333333333,162969.333333333,162253,161665.333333333,161203.666666667,160946,160609.333333333,160275.333333333,159772.333333333,159334,159061.666666667,158935.666666667,158742.333333333,158270.666666667,157701.666666667,157065,156460,155804,155170,154454.333333333,153719.333333333,152885.666666667,151965.333333333,151177.333333333,150571,150124.333333333,149660,149277.666666667,148740.666666667,148208.666666667,147688,147307,146999.333333333,146795.333333333,146824.666666667,146784.666666667,146680.333333333,146585,146697,146774.333333333,146857,146916,146998.333333333,147140.666666667,147292.666666667,147642.666666667,148010.333333333,148490.666666667,148967.333333333,149484,150030.666666667,150487.333333333,150983.333333333,151384.333333333,151931.333333333,152408.666666667,152917,153267.666666667,153530.333333333,153741,153902.666666667,154065.666666667,154168.333333333,154337.333333333,154524,154869.666666667,155243.333333333,155740.333333333,156253,156896.666666667,157413,157856.333333333,158275.333333333,158829.333333333,159470.666666667,160005.333333333,160474,160864,161236,161670.333333333,162196.333333333,162675,163261.333333333,163964,164852.666666667,165704,166515,167368,168215,169123.666666667,170066.333333333,170963.333333333,171773,172624,173542,174426.333333333,175208.666666667,175884.333333333,176656,177523.666666667,178605.666666667,179670.666666667,180795,181898.666666667,183048.333333333,184049,184931,185835,186809.666666667,187907.666666667,188938.333333333,189961.666666667,190838,191858.333333333,192876.666666667,193938.666666667,194838,195635.666666667,196492.333333333,197233.666666667,198008,198718,199459.666666667,200286.333333333,201229.666666667,202215.333333333
